"Country","Year","Treat","Score","PointsFromCutpoint","AGGAfter","AGGBefore","SoccerMostPopular"
"Soviet Union",1958,1,6,0,8,4,1
"Switzerland",1962,1,6,0,0,0,1
"Bulgaria",1962,1,6,0,0,0,1
"Bulgaria",1966,1,6,0,0,0,1
"Chile",1966,1,5,0,1,1,1
"Czechoslovakia",1970,1,9,0,1,0,1
"Sweden",1974,1,8,0,0,0,1
"Netherlands",1974,1,10,0,0,0,1
"Uruguay",1974,1,5,0,0,1,1
"Yugoslavia",1974,1,6,0,1,0,1
"Italy",1978,1,10,0,1,0,1
"France",1982,1,10,0,1,2,1
"New Zealand",1982,1,7,0,0,0,0
"Ireland",1994,1,18,0,0,0,0
"Nigeria",1994,1,5,0,1,1,1
"South Korea",1994,1,6,0,1,1,1
"Chile",1998,1,25,0,0,0,1
"Senegal",2002,1,15,0,1,0,1
"Angola",2006,1,21,0,0,1,1
"Algeria",2010,1,13,0,0,0,1
"Yugoslavia",1958,1,6,1,0,1,1
"Paraguay",1958,1,6,1,1,0,1
"Romania",1970,1,8,1,0,0,1
"Bulgaria",1970,1,9,1,1,1,1
"Peru",1970,1,5,1,1,1,1
"Morocco",1970,1,5,1,1,0,1
"East Germany",1974,1,10,1,0,0,1
"Poland",1974,1,5,1,0,0,1
"Austria",1978,1,10,1,0,0,1
"France",1978,1,5,1,2,0,1
"Tunisia",1978,1,5,1,1,0,1
"Britain",1982,1,9,1,1,1,1
"El Salvador",1982,1,6,1,0,0,1
"Portugal",1986,1,10,1,0,0,1
"Bulgaria",1986,1,11,1,1,0,1
"Romania",1990,1,9,1,0,0,1
"United Arab Emirates",1990,1,6,1,0,0,0
"Switzerland",1994,1,15,1,0,1,1
"Bulgaria",1994,1,14,1,0,0,1
"Bolivia",1994,1,11,1,0,0,1
"Morocco",1994,1,6,1,0,0,1
"Nigeria",1998,1,13,1,3,2,1
"Nigeria",2002,1,16,1,0,1,1
"Ivory Coast",2006,1,22,1,0,1,1
"Tunisia",2006,1,20,1,0,0,1
"Nigeria",2010,1,12,1,0,0,1
"Britain",1958,1,7,2,2,3,1
"France",1958,1,7,2,3,1,1
"Hungary",1958,1,6,2,0,0,1
"Austria",1958,1,7,2,0,0,1
"Argentina",1958,1,6,2,2,1,1
"West Germany",1966,1,7,2,0,0,1
"Portugal",1966,1,9,2,3,0,1
"Italy",1970,1,7,2,0,0,1
"Sweden",1970,1,6,2,0,0,1
"Belgium",1970,1,9,2,0,0,1
"Argentina",1974,1,7,2,1,0,1
"Haiti",1974,1,8,2,0,0,1
"Poland",1978,1,11,2,0,0,1
"Sweden",1978,1,6,2,0,0,1
"Spain",1978,1,6,2,0,0,1
"Austria",1982,1,11,2,0,0,1
"Peru",1982,1,6,2,1,2,1
"Soviet Union",1986,1,10,2,4,4,1
"Austria",1990,1,9,2,0,0,1
"Czechoslovakia",1990,1,12,2,0,0,1
"United States",1990,1,11,2,3,3,0
"Netherlands",1994,1,15,2,0,2,1
"Cameroon",1994,1,6,2,3,0,1
"Jamaica",1998,1,14,2,0,0,0
"Togo",2006,1,23,2,0,1,1
"Poland",1958,0,6,0,0,0,1
"Sweden",1962,0,6,0,0,0,1
"France",1962,0,6,0,2,3,1
"Belgium",1966,0,6,0,0,0,1
"Ecuador",1966,0,5,0,1,0,1
"Hungary",1970,0,9,0,1,1,1
"Austria",1974,0,8,0,0,0,1
"Belgium",1974,0,10,0,0,0,1
"Colombia",1974,0,5,0,0,0,1
"Spain",1974,0,6,0,1,0,1
"Britain",1978,0,10,0,1,0,1
"Ireland",1982,0,10,0,0,0,0
"China",1982,0,7,0,0,0,1
"Denmark",1994,0,18,0,0,1,1
