Country,Year,Treat,Score,PointsFromCutpoint,Use,AGG5YearsBefore,AGG3YearsBefore,AGGYearBefore,AGGM5.5,AGGM5,AGGM4.5,AGGM4,AGGM3.5,AGGM3,AGGM2.5,AGGM2,AGGM1.5,AGGM1,AGGM.5,AGG0,AGGP.5,AGGP1,AGGP1.5,AGGP2,AGGP2.5,AGGP3,AGGP3.5,AGGP4,AGGP4.5,AGGP5,REVM5.5,REVM5,REVM4.5,REVM4,REVM3.5,REVM3,REVM2.5,REVM2,REVM1.5,REVM1,REVM.5,REV0,REVP.5,REVP1,REVP1.5,REVP2,REVP2.5,REVP3,REVP3.5,REVP4,REVP4.5,REVP5,FatalAGGBefore,FatalAGGAfter,ForceAGGBefore,ForceAGGAfter,AttackAGGBefore,AttackAGGAfter,Irst,Milex,Milper,Energy,Tpop,Upop,CINC,LandArea,Regime,GreatPower,Alliances,USAlly,EntranceYear,Imports,Exports,EngagedCivilWar,EndedCivilWar,PrevAppear,MilexAfter,MilperPercentAfter,SoccerMostPopular,BirthRate,DeathRate,SexRatio,InfantMortality,LifeExpectancy,MedianAge,Democracy,Rank,NumberOfParticipants
Belgium,1934,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731000,47928000,66000,29443000,8248000,950000,0.0152273,11787,NA,0,5,0,1830,545750000,511560000,0,0,1,43984000,0.008192771,1,NA,NA,NA,NA,NA,NA,1,15,16
Soviet Union,1958,1,6,0,1,8,6,1,2,1,0,1,0,1,2,0,0,3,0,1,2,3,3,0,0,4,2,1,3,1,1,1,0,1,0,0,2,0,0,2,0,0,1,2,3,0,0,2,1,0,2,0,3,0,2,6,1,2,51176000,27624304000,4500000,518622000,203169000,45119000,0.1672666,8649538,1,1,0,0,NA,4277700000,4380000000,0,0,0,34500000000,0.0171023,1,26.3,9.2,80.2,73,64.1,26.1,0,7,16
Switzerland,1962,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297000,254588000,29000,11287000,5434000,1121000,0.0018668,15940,0,0,0,0,1816,2691200000,2044100000,0,0,0,305000000,0.003512469,1,18,10,93.9,24,70.71,32.7,1,16,16
Bulgaria,1962,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340000,190736000,132000,9603000,7943000,1101000,0.0027722,42823,1,0,10,0,1908,779000000,775000000,0,0,0,230000000,0.022654122,1,19,9,99.7,65,66.3,30.4,0,15,16
Bulgaria,1966,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,588000,201202000,178000,18512000,8201000,1437000,0.0032996,42823,1,0,10,0,1908,1378000000,1376000000,0,0,1,237000000,0.021179302,1,17,8,99.9,37,70.05,32,0,15,16
Chile,1966,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,441000,136667000,70000,13964000,8579000,3157000,0.0026849,291930,0,0,19,1,1839,603500000,687800000,0,0,1,141000000,0.007815989,1,38,12,97.6,109,58.05,20.1,1,13.5,16
Czechoslovakia,1970,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10802000,1997507000,210000,78286000,14415000,2256000,0.00934,49382,1,0,11,0,1918,3294000000,3319000000,0,0,0,2580000000,0.01542738,1,15.5,10.6,95,23,70.1,31.8,0,15,16
Sweden,1974,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5651000,1791267000,75000,38081470,8137000,2297000,0.004351,173745,0,0,0,0,1816,10625500000,12164100000,0,0,1,2360000000,0.009154156,1,15,10,99.7,12,74.07,35.4,1,5,16
Netherlands,1974,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5625000,1917298000,111000,161124000,13438000,3765000,0.0072353,16039,0,0,20,1,1816,24753700000,24075500000,0,0,0,2810000000,0.007837105,1,19,8,99.6,13,73.64,28.6,1,2,16
Uruguay,1974,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,68571000,20000,3615680,2821000,1176000,0.0006158,68037,1,0,22,1,1882,288580000,321520000,0,0,1,94824000,0.008837045,1,20,10,98.9,47,68.47,29.7,0,13,16
Yugoslavia,1974,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2676000,871456000,258000,39809880,20956000,2851000,0.0050122,98766,1,0,0,0,1878,4513100000,2853260000,0,0,0,1660000000,0.012645185,1,19,9,97.7,61,66.9,30.6,0,7,16
Italy,1978,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23334000,5137184000,475000,229550300,55955000,16145000,0.0195212,116346,0,0,20,1,1816,48106600000,45312700000,0,0,1,7780000000,0.008700593,1,16,10,94.6,27,72.14,33.5,1,4,16
France,1982,1,10,0,1,3,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,21258000,23867415000,575000,268747700,54182000,10330000,0.0218667,260585,0,1,24,1,1816,1.21E+11,1.06E+11,0,0,1,21700000000,0.010561321,1,14,10,95.4,12,73.67,32.4,1,4,24
New Zealand,1982,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380945000,12000,12266690,3125000,595000,0.0005564,103483,0,0,2,1,1920,5744290000,5622440000,0,0,0,442000000,0.00406377,0,17,8,98.9,14,72.41,27.9,1,23,24
Ireland,1994,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326000,543000000,13000,13014740,3574000,607000,0.0005775,32595,0,0,0,0,1922,21528200000,29180300000,0,0,1,688000000,0.004720911,0,16,9,99,8,74.11,29.2,1,16,24
Nigeria,1994,1,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,140000,210000000,76000,96262730,105265000,15929000,0.0065302,356667,1,0,15,0,1960,7600890000,11590100000,0,0,0,1510000000,0.000716063,1,45,19,101.3,127,45.81,17.5,0,9,24
South Korea,1994,1,6,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33026000,11930000000,750000,447271000,44195000,32438000,0.024487,38691,0,0,2,1,1949,86630200000,85816000000,0,0,1,14200000000,0.016632293,1,15,6,100.3,15,70.42,27,1,20,24
Chile,1998,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167000,2922000000,102000,34831080,14622000,9056000,0.0031732,291930,0,0,35,1,1839,21147800000,18222500000,0,0,0,2590000000,0.005859245,1,22,5,97.8,14,74.52,27.1,1,16,32
Senegal,2002,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000000,10000,3119437,9667000,2718000,0.0006102,76000,0,0,14,0,1960,1727110000,783610000,0,0,0,94000000,0.001377275,1,41,12,98.8,66,54.98,17,1,7,32
Angola,2006,1,21,0,1,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9000,1189000000,108000,23916600,16618000,3298000,0.0022973,481354,1,0,10,0,1975,8136070000,20193800000,0,0,0,2260000000,0.00609513,1,49,18,97.3,116,47.24,16.1,0,23,32
Algeria,2010,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158000,3096000000,138000,296874900,33481000,10730000,0.0051217,919595,1,0,37,0,1962,40703300000,45188200000,0,0,0,NA,NA,1,21,5,101.8,30,70.99,21.7,0,28,32
Romania,1934,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000,41553000,147000,4007000,18652000,956000,0.0088728,92043,NA,0,6,0,1878,91590000,110600000,0,0,1,73995000,0.007439229,1,NA,NA,NA,NA,NA,NA,0,12,16
Sweden,1950,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370000,267222000,-9000,12578000,6986000,1486000,0.0059543,173745,0,0,0,0,1816,1155700000,1134400000,0,0,1,278000000,-0.001267784,1,NA,NA,NA,NA,NA,NA,1,3,13
Yugoslavia,1958,1,6,1,1,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1049000,530000000,370000,12537000,17859000,1400000,0.0068053,98766,1,0,2,0,1878,648800000,393600000,0,0,1,652000000,0.020314044,1,27,14,95.8,110,57.97,26.6,0,5,16
Paraguay,1958,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4800000,7000,9000,1645000,253000,0.0002765,157048,1,0,21,1,1846,30030000,33000000,0,0,0,5100000,0.006358382,1,44,9,96.6,73,62.61,16.2,0,12,16
Romania,1970,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5541000,783558000,190000,63499000,20010000,3388000,0.006929,92043,1,0,9,0,1878,1914760000,1621780000,0,0,0,1940000000,0.010649731,1,16,9,95.9,60,66.8,30.2,0,11,16
Bulgaria,1970,1,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1515000,297847000,175000,26035000,8434000,1665000,0.0033364,42823,1,0,10,0,1908,2047000000,2100000000,0,0,1,1270000000,0.022141518,1,17,8,99.9,37,70.05,32,0,13,16
Peru,1970,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,194000,174910000,75000,7070000,12829000,3417000,0.0023604,496225,1,0,22,1,1839,601770000,864840000,0,0,0,225000000,0.005527712,1,47,18,101.4,138,49.07,18.1,0,7,16
Morocco,1970,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1000,80040000,70000,2389000,14598000,3245000,0.0021167,172487,1,0,26,0,1847,559170000,482050000,0,0,0,110000000,0.004232322,1,50,20,99.9,145,47.95,17.2,0,14,16
East Germany,1974,1,10,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5892000,3691000000,202000,163290500,16980000,3955000,0.0091252,41828,1,0,11,0,1954,7853520000,7520500000,0,0,0,4400000000,0.01305638,1,15.1,13.7,85.3,21,71.3,34.3,0,6,16
Poland,1974,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14057000,4717700000,328000,169702200,33363000,7879000,0.0141773,120696,1,0,11,0,1918,8485110000,6432020000,0,0,0,5980000000,0.012785844,1,17,8,94.4,36,69.81,28.2,0,3,16
Austria,1978,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4093000,575724000,37000,31156040,7568000,2335000,0.0026838,32377,0,0,0,0,1919,14206000000,9802300000,0,0,0,863000000,0.005298715,1,14,13,89.6,24,70.67,33.8,1,7,16
France,1978,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,22094000,15015875000,584000,284525800,53145000,9901000,0.0230707,260558,0,1,25,1,1816,70493800000,64989100000,0,0,0,22700000000,0.010782375,1,16,11,96,16,72.43,31.6,1,12,16
Tunisia,1978,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,156000,121678000,20000,2886684,5928000,572000,0.0006019,63170,1,0,38,0,1825,1824340000,924540000,0,0,0,154000000,0.003858521,1,37,12,102.8,119,55.6,17.7,0,9,16
